app_bundle;app_name;app_store_url;device_id;ua;uip;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0001d875-1e32-498e-9387-2427a512d11c;Roku%2FDVP-10.0+(10.0.0.4177-93);73.1.71.206;255.972;-804.048
com.xumo.xumo;XUMO: Free Streaming TV Shows and Movies;https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.xumo.xumo;0001f5a5-5065-4fed-9e94-60c41865d23f;Roku%2FDVP-10.5+(10.5.0.4049-78);47.17.242.133;;
com.roku.nba;NBA;https%3A%2F%2Fchannelstore.roku.com%2Fen-ot%2Fdetails%2F46325b801441e098718739908eb6f51b%2Fnba;0001MI6YRQ25;Roku%2FDVP-10.5+(10.5.0.4198-CR);75.109.38.133;;
tv.pluto.android;Pluto TV - Live TV and Movies;https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dtv.pluto.android;00020b5b-d278-43b0-83c5-54f14ef1f67e;Opera%2F9.80+(Tizen%3B+Opera+Mini%2F7.7.18%2F90.140%3B+U%3B+en)+Presto%2F2.12.423+Version%2F12.16;69.174.128.219;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00022392-5dec-491f-83d8-eb2565569174;Roku%2FDVP-10.0+(10.0.0.4198-46);73.159.248.123;416.721;-701.941
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00024e64-1404-4808-ba20-ba78a09c0d98;Roku%2FDVP-10.5+(10.5.0.4210-CP);76.4.240.93;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00026e6f-507e-4359-9f3f-4a91e46a9e68;Roku%2FDVP-10.0+(10.0.2.4218-48);173.218.0.24;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;000271f5-4365-4cda-b4e6-af5b5b150f9b;Roku%2FDVP-10.0+(10.0.0.4192-AN);162.248.139.85;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;000274b5-6b8c-4c9d-81e0-57fcd0afe419;Roku%2FDVP-10.5+(10.5.0.4208-24);98.155.235.157;209.174;-1.566.772
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0002773f-724e-4b1e-bfcf-131eefab7ea2;Roku%2FDVP-10.0+(10.0.3.4091-10);4.28.70.216;;
739360888;Hallmark TV;https%3A%2F%2Fapps.apple.com%2Fus%2Fapp%2Fapple-store%2Fid739360888;00028055-4d90-4a67-bffa-9ae99fdd6abd;AppleCoreMedia%2F1.0.0.18J411+(Apple+TV%3B+U%3B+CPU+OS+14_0_2+like+Mac+OS+X%3B+en_us);23.235.104.97;648.276;-1.476.573
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00029386-b7bb-4367-8261-6fab6c6c6901;Roku%2FDVP-11.0+(11.0.0.4180-04);67.42.137.142;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0002a88f-d00d-4c10-9690-6d0f8ff6ebec;Roku%2FDVP-11.0+(11.0.0.4193-C4);64.188.148.63;370.579;-881.487
com.roku.nba;NBA;https%3A%2F%2Fchannelstore.roku.com%2Fen-ot%2Fdetails%2F46325b801441e098718739908eb6f51b%2Fnba;0002aa2c-90cc-48bd-846f-2b49ff5e50d1;Roku%2FDVP-10.0+(10.0.0.4177-C0);73.234.208.176;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0002acd9-834b-4bb8-a0fb-22bc2e044141;Roku%2FDVP-10.5+(10.5.1.4066-CU);70.167.70.184;361.344;-959.882
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0002afd8-860a-4966-8488-21855a7c1d74;Roku%2FDVP-10.5+(10.5.0.4201-04);172.220.132.150;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0002f1d7-7675-4cb4-860f-da94f5561378;Roku%2FDVP-10.5+(10.5.0.4201-39);74.74.71.214;448.576;-693.811
com.crackle.roku;crackle;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F5ea83b05b288012e221b03a1020709cd%2Fcrackle;0002U2BY3TL4;Roku%2FDVP-10.5+(10.5.0.4210-D0);198.150.184.59;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0003351e-bf38-40d1-ba80-da5b42569b7d;Roku%2FDVP-10.0+(10.0.0.4195-CE);216.137.193.143;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;000354b2-6456-47e1-910c-bec333c30972;Roku%2FDVP-10.5+(10.5.0.4210-AG);76.173.234.213;213.571;-1.579.258
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;000356fc-0a60-421d-9032-a7e90b9394e8;Roku%2FDVP-10.0+(10.0.0.4209-AG);75.70.114.86;;
com.roku.nba;NBA;https%3A%2F%2Fchannelstore.roku.com%2Fen-ot%2Fdetails%2F46325b801441e098718739908eb6f51b%2Fnba;000365ec-2d5a-46d2-a42e-ecf66acc6e3f;Roku%2FDVP-10.5+(10.5.3.4092-10);98.239.149.40;;
